timestamp_min,exthum,enhum,temp,entemp,extemp,cammode,outstatus_0x0001,f3_hum,f10_temp,f10_hum,f3_temp
2019-08-21 16:37:00,59.6,85.6,81.5,29.2,27.3,4.0,1.0,,,,
2019-08-21 16:38:00,59.4,85.4,107.6,29.2,27.1,4.0,1.0,57.37,26.77,51.87,25.47
